danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.786,0.45,5,-6.182,1,0.0453,0.0325,0.0,0.226,0.88,123.995,audio_features,2U6mFmBDjaAu6oCCDRpRet,spotify:track:2U6mFmBDjaAu6oCCDRpRet,https://api.spotify.com/v1/tracks/2U6mFmBDjaAu6oCCDRpRet,https://api.spotify.com/v1/audio-analysis/2U6mFmBDjaAu6oCCDRpRet,200187,4,1
0.687,0.873,8,-3.852,1,0.0335,0.0545,0.0,0.318,0.884,130.024,audio_features,08YwAPnX8sygJUXG9rvhDv,spotify:track:08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/tracks/08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600,4,4
0.538,0.928,7,-4.152,1,0.0771,0.0108,0.0,0.0496,0.797,170.0,audio_features,7zty9mmmuqQsn8s4zDH4nk,spotify:track:7zty9mmmuqQsn8s4zDH4nk,https://api.spotify.com/v1/tracks/7zty9mmmuqQsn8s4zDH4nk,https://api.spotify.com/v1/audio-analysis/7zty9mmmuqQsn8s4zDH4nk,274547,4,0
0.519,0.666,10,-6.163,1,0.0262,0.553,0.000169,0.0948,0.461,149.839,audio_features,5RbMlPFL4gVyEHW2lEOuzG,spotify:track:5RbMlPFL4gVyEHW2lEOuzG,https://api.spotify.com/v1/tracks/5RbMlPFL4gVyEHW2lEOuzG,https://api.spotify.com/v1/audio-analysis/5RbMlPFL4gVyEHW2lEOuzG,328627,4,0
0.474,0.881,7,-1.846,1,0.0398,0.033,0.0,0.0513,0.587,180.0,audio_features,5K1m4aaPCxwnm9SKlWW1vh,spotify:track:5K1m4aaPCxwnm9SKlWW1vh,https://api.spotify.com/v1/tracks/5K1m4aaPCxwnm9SKlWW1vh,https://api.spotify.com/v1/audio-analysis/5K1m4aaPCxwnm9SKlWW1vh,265987,4,0
0.627,0.806,0,-6.377,1,0.0496,0.0954,0.0,0.331,0.571,110.006,audio_features,4UShpOJdauir54vMuaFLEV,spotify:track:4UShpOJdauir54vMuaFLEV,https://api.spotify.com/v1/tracks/4UShpOJdauir54vMuaFLEV,https://api.spotify.com/v1/audio-analysis/4UShpOJdauir54vMuaFLEV,234733,4,2
0.713,0.606,7,-5.718,0,0.0328,0.315,0.0,0.262,0.492,90.005,audio_features,52IsIvHidofM9JMjw78Jyz,spotify:track:52IsIvHidofM9JMjw78Jyz,https://api.spotify.com/v1/tracks/52IsIvHidofM9JMjw78Jyz,https://api.spotify.com/v1/audio-analysis/52IsIvHidofM9JMjw78Jyz,242167,4,1
0.646,0.45,4,-6.628,1,0.0482,0.573,0.0,0.0768,0.413,90.01,audio_features,3FUqp10RhCmMjyyB9extmo,spotify:track:3FUqp10RhCmMjyyB9extmo,https://api.spotify.com/v1/tracks/3FUqp10RhCmMjyyB9extmo,https://api.spotify.com/v1/audio-analysis/3FUqp10RhCmMjyyB9extmo,241227,4,1
0.712,0.817,1,-5.123,1,0.0279,0.0717,7.21e-06,0.146,0.679,100.016,audio_features,5D9MPWdY2hjSeTIGE5n5kv,spotify:track:5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/tracks/5D9MPWdY2hjSeTIGE5n5kv,https://api.spotify.com/v1/audio-analysis/5D9MPWdY2hjSeTIGE5n5kv,243613,4,2
0.633,0.723,8,-5.733,0,0.143,0.107,0.0,0.0818,0.688,103.101,audio_features,6H0PLsSYMzDOqhLgyOlzIj,spotify:track:6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/tracks/6H0PLsSYMzDOqhLgyOlzIj,https://api.spotify.com/v1/audio-analysis/6H0PLsSYMzDOqhLgyOlzIj,264533,4,2
